                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    110,                0.95644,                 0.5315,                0.90548,                0.89295,                0.85519,                0.89036,                0.55877,                 1.1032,                0.52441,                 1.0119,              0.0002806,              0.0002806,              0.0002806
                    111,                 0.9567,                0.52902,                0.90734,                0.91712,                0.85951,                0.89257,                0.55686,                  1.093,                0.52052,                 1.0094,               0.000274,               0.000274,               0.000274
                    112,                0.94818,                0.51938,                0.90009,                0.89316,                0.84885,                0.87959,                0.56106,                 1.0759,                 0.5147,                 1.0016,              0.0002674,              0.0002674,              0.0002674
                    113,                0.94858,                0.52556,                0.90586,                0.90151,                0.86086,                0.89029,                0.56599,                  1.081,                0.51187,                 1.0066,              0.0002608,              0.0002608,              0.0002608
                    114,                0.94116,                0.51779,                0.89901,                0.90345,                0.85902,                0.89846,                0.56426,                 1.0844,                0.50717,                 1.0078,              0.0002542,              0.0002542,              0.0002542
                    115,                0.93933,                0.52293,                0.90253,                0.92352,                0.85893,                0.90002,                0.56691,                 1.0665,                0.50908,                  1.004,              0.0002476,              0.0002476,              0.0002476
                    116,                 0.9351,                0.51719,                0.90151,                0.89347,                0.86914,                0.89821,                0.56566,                 1.0556,                0.50127,                 1.0011,               0.000241,               0.000241,               0.000241
                    117,                0.93392,                0.52005,                0.90199,                0.89988,                0.87669,                0.90741,                0.57822,                 1.0582,                0.50002,                 1.0011,              0.0002344,              0.0002344,              0.0002344
                    118,                0.93694,                0.52201,                0.90032,                0.91207,                0.86774,                0.90554,                0.57612,                 1.0645,                0.50458,                 1.0034,              0.0002278,              0.0002278,              0.0002278
                    119,                0.92404,                0.51615,                0.89902,                0.91102,                 0.8506,                0.89824,                0.56884,                 1.0658,                 0.4985,                 1.0094,              0.0002212,              0.0002212,              0.0002212
                    120,                0.91967,                0.51098,                0.89497,                0.92074,                0.86657,                0.90909,                0.57808,                 1.0499,                0.50109,                 1.0005,              0.0002146,              0.0002146,              0.0002146
                    121,                0.92274,                0.51113,                0.89881,                0.91716,                0.86464,                0.90959,                0.57377,                 1.0674,                0.49925,                 1.0087,               0.000208,               0.000208,               0.000208
                    122,                0.91982,                0.51353,                0.89861,                0.92196,                0.86499,                0.90117,                0.56892,                   1.06,                0.49946,                 1.0019,              0.0002014,              0.0002014,              0.0002014
                    123,                0.91884,                0.51086,                0.90141,                0.91602,                0.84708,                0.90142,                0.57223,                 1.0646,                0.49623,                 1.0058,              0.0001948,              0.0001948,              0.0001948
